min_pitch,max_pitch,mean_pitch,min_intensity,max_intensity,mean_intensity,speaker,emotion
-0.734920038098822,-1.0598608291700593,-1.0015521257387212,0.9666912606739902,0.9666912606739902,0.9666912606739902,cc,anxiety
-0.4629806761565688,1.1498106472000638,-0.4458388080247918,-0.29428043288571887,-0.29428043288571887,-0.29428043288571887,cc,anxiety
-0.6235436692918188,1.0153582410356603,-0.5109543497262025,0.32347147450140473,0.32347147450140473,0.32347147450140473,cc,anxiety
-0.430925072286224,1.5541486218250185,-0.18709307180294282,1.252862291109468,1.252862291109468,1.252862291109468,cc,anxiety
-0.6932363681487549,-0.91023551119722,-0.9506342148030126,0.9850883952969007,0.9850883952969007,0.9850883952969007,cc,anxiety
-0.7798365228242027,-1.227574269200212,-1.1461385168861091,-0.09152916825500158,-0.09152916825500158,-0.09152916825500158,cc,anxiety
-0.7440208423507049,1.4443654047230463,-0.5497192567378789,1.378876736398073,1.378876736398073,1.378876736398073,cc,anxiety
-0.8303102878911753,1.270924534901642,-0.3498741064676187,1.0474511764178907,1.0474511764178907,1.0474511764178907,cc,anxiety
-0.6117417530610458,1.447705663352081,-0.3605053365841019,1.280452780751115,1.280452780751115,1.280452780751115,cc,anxiety
-0.3144911036927303,1.283868710653807,-0.1012787421812013,0.5550396295051312,0.5550396295051312,0.5550396295051312,cc,anxiety
-0.524449461792393,1.980741308312745,0.017845503723244525,-0.4020423663627482,-0.4020423663627482,-0.4020423663627482,cc,boredom
-0.7100356430342144,-1.2489128886385514,-1.1049329291183514,-0.22807206295274068,-0.22807206295274068,-0.22807206295274068,cc,boredom
-0.3965207954430541,-1.1528209794279867,-0.9682738743618987,-0.708967367146189,-0.708967367146189,-0.708967367146189,cc,boredom
-0.34286853428574693,-0.9393148480136058,-0.6748094912394358,-0.7837274092840218,-0.7837274092840218,-0.7837274092840218,cc,boredom
-0.4391064478055813,-0.9911758460423029,-0.841378012056115,-0.38984724996211795,-0.38984724996211795,-0.38984724996211795,cc,boredom
-0.6800626514509889,1.5646956724083432,-0.6834811062423842,-0.30689322796806734,-0.30689322796806734,-0.30689322796806734,cc,boredom
-0.45457847631339177,-1.21242880194148,-1.0589554528697527,0.05707888897768786,0.05707888897768786,0.05707888897768786,cc,boredom
-0.6765134671880318,1.6061317401675423,-0.6186888637718441,1.3713800707159784,1.3713800707159784,1.3713800707159784,cc,boredom
-0.49337050093319124,1.1646756004228527,-0.7570845126808643,-0.4906119435450616,-0.4906119435450616,-0.4906119435450616,cc,boredom
